FID;rate_5;rate_10;rate_25;rate_50;rate_100;rate_300;rate_500;rate_1000;rate_2000;ari10;ari50;ari100;ari200;ari500;ari1000;ari2500;ari500P;ari500M;ari500LL;ari500ZL;POINT_X;POINT_Y
12;0.178679453508593;0.086963242828058;0.029066059268910;0.011440596938574;0.004035218306466;0.000562203630332;0.000188475442548;0.000033998834521;0.000004463383396;0.100000000000000;0.332505052676078;0.549091922975288;0.871962838330468;1.521086464135556;2.230836814797617;3.535356864184926;2.809772460555118;0.726143477534651;0.936178475856655;0.781782740895228;187.622787476000010;64.037452697800006
13;0.188197657093797;0.093610839789206;0.032311508387481;0.013013584355412;0.004717006736645;0.000703712461055;0.000244577539041;0.000046032483625;0.000006257861814;0.100000000000000;0.363124577548833;0.602277097352126;0.962320556701929;1.690818704942810;2.488893707358396;3.967033815194356;3.089176268612976;0.829632593108431;1.053793290281242;0.934774919224282;187.262893676999990;63.937454223600000
14;0.186219436774935;0.092187228524603;0.031992706914488;0.013145129595597;0.004935443699261;0.000803998820807;0.000294197917021;0.000059399387592;0.000008581433102;0.100000000000000;0.362906645486344;0.610311932001544;0.990201154023140;1.776603979354673;2.657433728580465;4.296102836373862;3.379186078408300;0.848745930064164;1.132147760742936;0.976711002110964;186.854827881000010;63.870800018300002
15;0.185104145349438;0.090668737554669;0.030778703821120;0.012329673302484;0.004431992741058;0.000630446948929;0.000210929691783;0.000037307425604;0.000004731255785;0.100000000000000;0.349099623707978;0.579473487960612;0.925535853100957;1.617703743290975;2.364116543539741;3.738665834260012;2.964397557521250;0.782735199839658;1.000240610676612;0.847258352729341;186.471008301000010;63.953956603999998
16;0.189371769095223;0.093587593221962;0.032257719936911;0.013173828922239;0.004893346405974;0.000757851522259;0.000267306428353;0.000051272459595;0.000007083029309;0.100000000000000;0.364334393447255;0.610253536261126;0.984687483382887;1.746611257591740;2.583676767198499;4.125945941523413;3.216751376379404;0.849568568624106;1.096979505533253;0.920596443003905;186.077316284000010;64.014312744099996
17;0.194111523798230;0.097345772430725;0.034559382226503;0.014459577672147;0.005444945670725;0.000824731969523;0.000281926327365;0.000050916739173;0.000006533541233;0.100000000000000;0.389124903933077;0.655690917823026;1.055601745194246;1.852853251142752;2.712394926027704;4.254079211327058;3.366233749887674;0.905437322425338;1.154709602672230;0.953889057008918;185.762985229000010;64.145317077599998
18;0.194744880934988;0.098152822964463;0.035119426661144;0.014743639649870;0.005526366172653;0.000808775392943;0.000270758036066;0.000048129931808;0.000006249383009;0.100000000000000;0.395014415648870;0.664746588922981;1.064951862853785;1.851868731576862;2.690608815835843;4.188855598566159;3.343192188824139;0.912222108935140;1.134456585375508;0.945476123398201;185.475708008000000;64.290931701700003
19;0.192979258686073;0.097812862116908;0.035328312688349;0.014928310980846;0.005611362960865;0.000811523133652;0.000266811418335;0.000045383532623;0.000005500060077;0.100000000000000;0.398372947719476;0.671661878629220;1.075376972463617;1.864169785021725;2.698684791833879;4.174678575868469;3.310316318866835;0.931341535690064;1.140996875742524;0.937732665148578;185.115310669000000;64.392997741700000
20;0.184919139810425;0.092581201458453;0.032665054922448;0.013526026040497;0.005004767183172;0.000720398901797;0.000238945605026;0.000041686166727;0.000005266217904;0.100000000000000;0.370457196941446;0.622348581412599;0.998931452193282;1.742898734509330;2.535625080360147;3.965682000913157;3.089698833683735;0.859633182970066;1.073922174163002;0.884425400475388;184.704757690000010;64.395805358900006
21;0.166187074623941;0.081913339065984;0.028481085100053;0.011693646224017;0.004291864697003;0.000615729867863;0.000204852196446;0.000035809065939;0.000004480419520;0.100000000000000;0.331611705355674;0.560005859953545;0.904561371842240;1.594450785142387;2.336075591749667;3.692619294391454;2.857713481436597;0.775380439672023;0.992678469479778;0.814102217115115;184.333618164000000;64.474685668899994
